"x","y","urchin.density.m2"
114.9722,-29.523566,NA
114.972145,-29.523574,NA
114.972092,-29.523582,NA
114.972037,-29.523587,NA
114.971985,-29.523586,NA
114.971942,-29.523581,NA
114.971888,-29.523581,NA
114.971837,-29.523581,NA
114.971775,-29.523587,NA
114.971705,-29.523616,NA
114.971643,-29.523664,NA
114.971588,-29.523729,NA
114.971538,-29.523771,NA
114.971482,-29.523802,NA
114.971425,-29.523822,NA
114.971372,-29.523832,NA
114.971328,-29.523837,NA
114.971262,-29.523836,NA
114.971192,-29.523836,NA
114.971117,-29.523836,NA
114.971053,-29.523847,NA
114.970993,-29.523861,NA
114.970933,-29.523887,NA
114.970888,-29.523917,NA
114.970833,-29.523942,NA
114.970775,-29.523961,NA
114.970708,-29.523981,NA
114.970657,-29.523994,NA
114.970608,-29.524007,NA
114.970562,-29.524022,NA
114.970517,-29.524046,NA
114.970477,-29.524079,NA
114.970438,-29.524112,NA
114.97039,-29.524137,NA
114.97033,-29.524159,NA
114.970273,-29.524164,NA
114.970222,-29.524166,NA
114.970165,-29.524169,NA
114.970102,-29.524176,NA
114.970045,-29.524174,NA
114.969993,-29.524161,NA
114.96993,-29.524141,NA
114.969855,-29.524127,NA
114.969793,-29.524127,NA
114.969745,-29.524136,NA
114.969707,-29.524147,NA
114.969655,-29.524172,NA
114.969622,-29.524201,NA
114.969597,-29.524234,NA
114.969595,-29.524261,NA
114.969593,-29.524286,NA
114.969598,-29.524314,NA
114.969603,-29.524334,NA
114.969602,-29.524346,NA
114.969608,-29.524357,NA
114.969613,-29.524362,NA
114.969618,-29.524369,NA
114.969623,-29.524376,NA
114.969628,-29.524382,NA
114.969635,-29.524387,NA
114.969648,-29.524384,NA
114.969655,-29.524382,NA
114.969662,-29.524382,NA
114.96967,-29.524386,NA
114.969677,-29.524416,NA
114.969672,-29.524449,NA
114.969668,-29.524472,NA
114.969663,-29.524491,NA
114.96966,-29.524506,NA
114.96966,-29.524516,NA
114.962032,-29.519166,NA
114.962098,-29.519221,NA
114.962137,-29.519282,NA
114.962153,-29.519347,NA
114.962158,-29.519419,NA
114.96215,-29.519481,NA
114.962123,-29.519549,NA
114.962067,-29.519602,NA
114.962002,-29.519647,NA
114.961932,-29.519671,NA
114.961858,-29.519682,NA
114.961778,-29.519689,NA
114.961698,-29.519702,NA
114.961632,-29.519722,NA
114.961573,-29.519744,NA
114.961537,-29.519782,NA
114.9615,-29.519836,NA
114.961463,-29.519886,NA
114.961428,-29.519931,NA
114.961403,-29.519986,NA
114.961385,-29.520052,NA
114.961388,-29.520117,NA
114.961385,-29.520179,NA
114.961385,-29.520239,NA
114.961378,-29.520304,NA
114.961365,-29.520357,NA
114.961355,-29.520409,NA
114.961325,-29.520456,NA
114.961298,-29.520506,NA
114.961273,-29.520561,NA
114.961253,-29.520626,NA
114.961247,-29.520687,NA
114.961235,-29.520747,NA
114.961242,-29.520812,NA
114.961233,-29.520876,NA
114.961238,-29.520939,NA
114.96124,-29.521002,NA
114.961223,-29.521054,NA
114.961207,-29.521112,NA
114.96118,-29.521159,NA
114.961153,-29.521214,NA
114.961123,-29.521267,NA
114.961098,-29.521312,NA
114.961075,-29.521371,NA
114.961072,-29.521424,NA
114.961067,-29.521486,NA
114.96107,-29.521551,NA
114.961072,-29.521614,NA
114.961065,-29.521676,NA
114.961062,-29.521729,NA
114.96106,-29.521779,NA
114.961053,-29.521829,NA
114.961035,-29.521886,NA
114.961002,-29.521932,NA
114.960982,-29.521967,NA
114.960947,-29.522011,NA
114.960915,-29.522044,NA
114.960893,-29.522092,NA
114.960877,-29.522139,NA
114.960862,-29.522196,NA
114.960857,-29.522251,NA
114.960855,-29.522309,NA
114.960872,-29.522374,NA
114.960877,-29.522427,NA
114.960875,-29.522479,NA
114.960875,-29.522529,NA
114.96087,-29.522579,NA
114.960865,-29.522624,NA
114.960847,-29.522674,NA
114.960832,-29.522712,NA
114.960802,-29.522762,NA
114.96076,-29.522801,NA
114.960707,-29.522842,NA
114.96065,-29.522887,NA
114.9606,-29.522926,NA
114.960538,-29.522974,NA
114.960505,-29.523036,NA
114.960478,-29.523096,NA
114.960472,-29.523152,NA
114.960483,-29.523216,NA
114.960505,-29.523276,NA
114.960527,-29.523344,NA
114.960547,-29.523409,NA
114.960567,-29.523476,NA
114.96056,-29.523537,NA
114.960548,-29.523599,NA
114.96053,-29.523642,NA
114.960502,-29.523701,NA
114.96049,-29.523746,NA
114.960473,-29.523799,NA
114.960463,-29.523842,NA
114.960452,-29.523896,NA
114.96044,-29.523942,NA
114.960417,-29.523986,NA
114.960402,-29.524032,NA
114.960375,-29.524079,NA
114.96036,-29.524127,NA
114.96033,-29.524181,NA
114.96031,-29.524234,NA
114.960295,-29.524282,NA
114.960277,-29.524339,NA
114.960255,-29.524396,NA
114.960228,-29.524454,NA
114.960198,-29.524504,NA
114.960163,-29.524552,NA
114.960125,-29.524592,NA
114.960077,-29.524641,NA
114.960048,-29.524696,NA
114.960025,-29.524767,NA
114.96002,-29.524846,NA
114.960015,-29.524906,NA
114.960012,-29.524964,NA
114.96,-29.525012,NA
114.959975,-29.525067,NA
114.959957,-29.525109,NA
114.959927,-29.525152,NA
114.959902,-29.525186,NA
114.959858,-29.525229,NA
114.959827,-29.525277,NA
114.959782,-29.525326,NA
114.959747,-29.525377,NA
114.959723,-29.525431,NA
114.959695,-29.525482,NA
114.959685,-29.525539,NA
114.959665,-29.525607,NA
114.959673,-29.525656,NA
114.959672,-29.525714,NA
114.959677,-29.525764,NA
114.959685,-29.525826,NA
114.959678,-29.525877,NA
114.959677,-29.525937,NA
114.959657,-29.525991,NA
114.959637,-29.526051,NA
114.959602,-29.526106,NA
114.959575,-29.526159,NA
114.95954,-29.526202,NA
114.959502,-29.526247,NA
114.959457,-29.526292,NA
114.959413,-29.526344,NA
114.959385,-29.526397,NA
114.959358,-29.526464,NA
114.959358,-29.526524,NA
114.959367,-29.526586,NA
114.959375,-29.526642,NA
114.95939,-29.526704,NA
114.959395,-29.526759,NA
114.95941,-29.526827,NA
114.959417,-29.526892,NA
114.95943,-29.526959,NA
114.959427,-29.527017,NA
114.95941,-29.527081,NA
114.9594,-29.527129,NA
114.959358,-29.527186,NA
114.959328,-29.527229,NA
114.959288,-29.527277,NA
114.959243,-29.527329,NA
114.959217,-29.527377,NA
114.9592,-29.527441,NA
114.959203,-29.527506,NA
114.959212,-29.527561,NA
114.959225,-29.527621,NA
114.959227,-29.527669,NA
114.959225,-29.527726,NA
114.959223,-29.527769,NA
114.959218,-29.527812,NA
114.959202,-29.527856,NA
114.959177,-29.527902,NA
114.959138,-29.527949,NA
114.959098,-29.527994,NA
114.959062,-29.528041,NA
114.959027,-29.528102,NA
114.959013,-29.528162,NA
114.959018,-29.528222,NA
114.959027,-29.528272,NA
114.959043,-29.528321,NA
114.959062,-29.528366,NA
114.959063,-29.528409,NA
114.959078,-29.528456,NA
114.959093,-29.528501,NA
114.959093,-29.528539,NA
114.959097,-29.528577,NA
114.959088,-29.528611,NA
114.959082,-29.528652,NA
114.959067,-29.528699,NA
114.959057,-29.528746,NA
114.959022,-29.528789,NA
114.958993,-29.528834,NA
114.958952,-29.528897,NA
114.958918,-29.528962,NA
114.958907,-29.529014,NA
114.958892,-29.529066,NA
114.958873,-29.529122,NA
114.958867,-29.529176,NA
114.966365,-29.527836,NA
114.966405,-29.527919,NA
114.966413,-29.527999,NA
114.966408,-29.528059,NA
114.966385,-29.528102,NA
114.966362,-29.528151,NA
114.96632,-29.528206,NA
114.966265,-29.528234,NA
114.966147,-29.528276,NA
114.966095,-29.528304,NA
114.966058,-29.528337,NA
114.966032,-29.528386,NA
114.966022,-29.528449,NA
114.966025,-29.528506,NA
114.966022,-29.528564,NA
114.96602,-29.528624,NA
114.966015,-29.528676,NA
114.96601,-29.528734,NA
114.96601,-29.528789,NA
114.966002,-29.528841,NA
114.965995,-29.528889,NA
114.965982,-29.528944,NA
114.965965,-29.529002,NA
114.965967,-29.529057,NA
114.965978,-29.529124,NA
114.965993,-29.529189,NA
114.966003,-29.529247,NA
114.966003,-29.529299,NA
114.96602,-29.529356,NA
114.966018,-29.529426,NA
114.965987,-29.529479,NA
114.965955,-29.529539,NA
114.965907,-29.529596,NA
114.96589,-29.529649,NA
114.965877,-29.529704,NA
114.965895,-29.529757,NA
114.965918,-29.529812,NA
114.96594,-29.529872,NA
114.965972,-29.529926,NA
114.965977,-29.529981,NA
114.96599,-29.530031,NA
114.965998,-29.530084,NA
114.965993,-29.530131,NA
114.965997,-29.530194,3.718103537
114.965992,-29.530246,NA
114.96598,-29.530307,NA
114.965985,-29.530359,NA
114.965987,-29.530414,NA
114.965987,-29.530466,NA
114.965987,-29.530516,NA
114.965982,-29.530566,NA
114.965975,-29.530614,NA
